id,title,author,genre,pages
1,The Great Gatsby,F. Scott Fitzgerald,Fiction,180
2,To Kill a Mockingbird,Harper Lee,Fiction,281
3,1984,George Orwell,Dystopian,328
4,The Catcher in the Rye,J.D. Salinger,Fiction,214
5,Moby-Dick,Herman Melville,Adventure,635
6,Pride and Prejudice,Jane Austen,Romance,279
7,The Hobbit,J.R.R. Tolkien,Fantasy,310
8,Brave New World,Aldous Huxley,Dystopian,268
9,The Da Vinci Code,Dan Brown,Thriller,489
10,The Lord of the Rings,J.R.R. Tolkien,Fantasy,1178
11,The Shining,Stephen King,Horror,447
12,The Chronicles of Narnia,C.S. Lewis,Fantasy,208
13,Jane Eyre,Charlotte Brontë,Romance,500
14,The Catcher in the Rye,J.D. Salinger,Fiction,214
15,Little Women,Louisa May Alcott,Classic,759
16,War and Peace,Leo Tolstoy,Historical,1225
17,The Alchemist,Paulo Coelho,Fiction,208
18,One Hundred Years of Solitude,Gabriel García Márquez,Magical Realism,417
19,The Odyssey,Homer,Classic,541
20,Murder on the Orient Express,Agatha Christie,Mystery,256
21,The Godfather,Marian B. K.,Crime,448
22,The Book Thief,Markus Zusak,Fiction,552
23,The Road,Cormac McCarthy,Dystopian,287
24,The Hobbit,J.R.R. Tolkien,Fantasy,310
25,The Kite Runner,Khaled Hosseini,Drama,371
26,The Great Alone,Kristin Hannah,Historical Fiction,434
27,Ender's Game,Orson Scott Card,Science Fiction,324
28,Dune,Frank Herbert,Science Fiction,412
29,The Girl with the Dragon Tattoo,Stieg Larsson,Mystery,465
30,Gone Girl,Gillian Flynn,Thriller,432
31,The Handmaid's Tale,Margaret Atwood,Dystopian,311
32,A Game of Thrones,George R.R. Martin,Fantasy,694
33,The Hunger Games,Suzanne Collins,Dystopian,374
34,Life of Pi,Yann Martel,Adventure,319
35,The Lovely Bones,Alice Sebold,Drama,328
36,Big Little Lies,Liane Moriarty,Drama,460
37,The Picture of Dorian Gray,Oscar Wilde,Classic,254
38,The Maze Runner,James Dashner,Dystopian,374
39,The Secret Garden,Frances Hodgson Burnett,Children's,331
40,The Outsiders,S.E. Hinton,Young Adult,180
41,The Silence of the Lambs,Thomas Harris,Thriller,338
42,The Goldfinch,Donna Tartt,Fiction,771
43,The Bell Jar,Sylvia Plath,Classic,288
44,The Name of the Wind,Patrick Rothfuss,Fantasy,662
45,American Gods,Neil Gaiman,Fantasy,465
46,The Brief Wondrous Life of Oscar Wao,Junot Díaz,Fiction,335
47,The Shadow of the Wind,Carlos Ruiz Zafón,Fiction,487
48,The Girl on the Train,Paula Hawkins,Thriller,395
49,The Art of Racing in the Rain,Garth Stein,Drama,321
50,Room,Emma Donoghue,Drama,321
51,The Immortal Life of Henrietta Lacks,Rebecca Skloot,Non-Fiction,381
52,The Perks of Being a Wallflower,Stephen Chbosky,Young Adult,213
53,The Light We Lost,Jill Santopolo,Romance,368
54,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Romance,391
55,Educated,Tara Westover,Non-Fiction,334
56,Where the Crawdads Sing,Delia Owens,Mystery,368
